,date,rank,song,artist,last-week,peak-rank,weeks-on-board,genre
194,1958-08-11,95,Chariot Rock,The Champs,,95,1,"['rock-and-roll', 'rockabilly']"
195,1958-08-11,96,Down In Virginia,Jimmy Reed,,96,1,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'rock-and-roll', 'traditional blues']"
196,1958-08-11,97,Sunday Barbecue,Tennessee Ernie Ford,,97,1,"['bluegrass gospel', 'country boogie', 'country gospel', 'yodeling']"
198,1958-08-11,99,Nothing In The World,Nat King Cole,,99,1,"['adult standards', 'vocal jazz']"
251,1958-08-18,52,How The Time Flies,Jerry Wallace,,52,1,['deep adult standards']
259,1958-08-18,60,Borrowed Dreams,Bobby Helms,,60,1,['adult standards']
266,1958-08-18,67,Near You,Roger Williams,,67,1,"['adult standards', 'easy listening', 'lounge']"
271,1958-08-18,71,Lazy Summer Night,The Four Preps,,71,1,"['deep adult standards', 'vocal harmony group']"
273,1958-08-18,74,"Summertime, Summertime",The Jamies,,74,1,"['melodic metalcore', 'metalcore', 'post-screamo', 'progressive post-hardcore', 'screamo', 'trancecore']"
275,1958-08-18,76,Straighten Up & Fly Right,DeJohn Sisters,,76,1,[]
280,1958-08-18,81,Gas Money,Jan & Arnie,,81,1,"['cartoon', ""children's music"", ""preschool children's music"", 'sesame street']"
287,1958-08-18,88,Dance Everyone Dance,Betty Madigan,,88,1,[]
288,1958-08-18,89,Devotion,Janice Harper,,89,1,['christian relaxative']
289,1958-08-18,90,My Life,Chuck Willis,,90,1,"['doo-wop', 'jazz blues', 'rhythm and blues', 'rock-and-roll', 'swamp pop']"
290,1958-08-18,91,Down The Aisle Of Love,The Quin-Tones,,91,1,['classic girl group']
293,1958-08-18,94,Fire Of Love,Jody Reynolds,,94,1,"['rock-and-roll', 'rockabilly']"
294,1958-08-18,95,Put A Ring On My Finger,Les Paul And Mary Ford,,95,1,['space age pop']
295,1958-08-18,96,It's All In The Game,Tommy Edwards,,96,1,"['deep adult standards', 'doo-wop', 'rhythm and blues']"
296,1958-08-18,97,Ma Ma Ma Marie,The Gaylords,,97,1,"['deep adult standards', 'vocal harmony group']"
297,1958-08-18,98,Where The Blue Of The Night,Tommy Mara,,98,1,"['dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
298,1958-08-18,99,Who Are They To Say,The DeCastro Sisters,,99,1,[]
299,1958-08-18,100,Going To Chicago Blues,Count Basie & His Orch.,,100,1,"['jazz blues', 'rhythm and blues', 'torch song']"
356,1958-08-25,57,Carol,Chuck Berry,,57,1,"['adult standards', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
361,1958-08-25,62,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,,62,1,"['classic country pop', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']"
364,1958-08-25,65,When Will I Know,George Hamilton IV,,65,1,['traditional country']
371,1958-08-25,72,City Lights,Ray Price,,72,1,"['country', 'honky tonk', 'nashville sound', 'traditional country']"
373,1958-08-25,74,Count Every Star,The Rivieras,,74,1,"['classic garage rock', 'doo-wop', 'surf music']"
377,1958-08-25,78,The Green Mosquito,The Tune Rockers,,78,1,[]
379,1958-08-25,80,Strange Are The Ways Of Love,Gogi Grant,,80,1,['deep adult standards']
380,1958-08-25,81,Prisoner's Song,Warren Storm,,81,1,['swamp pop']
381,1958-08-25,82,Topsy II,Cozy Cole,,82,1,['lo-fi beats']
